Reward_Name,Platform,XP,Items,Confidence,Language,Quest_Text_From_CFF,Suggested_Quest_IDs,Quest_Descriptions
"WundtinkturValdis","P63",30,"[]",1.000,"German","Besorgt die Wundtinktur von Valdis und bringt sie zu Swerdis in Eloni","NOT_FOUND","No matching quest in database"
"Items","P63",0,"[]",1.000,"English","Sinwen Whiteleaf is looking for components of a large spellwork in the leafshade. She needs a few it","NOT_FOUND","No matching quest in database"
"Schwarzeibe","P63",35,"[]",1.000,"English","nnt Ihr irgendwo einen alten Bogen aus Schwarzeibe finden.","414;415","Ist dieser gebrochene Bogen aus dem Holz der Schwa | Ist dieser gebrochene Bogen aus dem Holz der Schwa"
"ThurgonBrief","P63",250,"[]",1.000,"German","Ich erkenne sie. Thurgon gab mir diesen Brief. Seht ihr die Anschrift?","NOT_FOUND","No matching quest in database"
"Money","P63",0,"[]",1.000,"English","Listen...since the Black Fist attacked us; looters have been prowling around here! They've robbed me","NOT_FOUND","No matching quest in database"
"WundtinkturSwerdis","P2",80,"[]",1.000,"German","Die Kinder der Elfen auf Eloni siechen dahin. Swerdis braucht eine Wundtinktur; um sie zu retten.","NOT_FOUND","No matching quest in database"
"DieGeiseln","P4",40,"[]",1.000,"German","einige von uns gefangensetzen. Als Geiseln; sollten die Schwestern aus Eloni Rache suchen!","NOT_FOUND","No matching quest in database"
"MosaikDesTodes","P16",800,"[]",1.000,"German","en Steinbild - dem Mosaik des Todes!","NOT_FOUND","No matching quest in database"
"Thar","P21",600,"[]",1.000,"English","The key point is the entrance to the mountain pass. It is advisable to await the Undead together wit","NOT_FOUND","No matching quest in database"
"DerKatarakt","P21",600,"[]",1.000,"German","Findet jemanden; der General Torns Katarakt behandeln kann","NOT_FOUND","No matching quest in database"
"ShardAutumn","P21",400,"[]",1.000,"English","Elwen; who was to carry the Shard of Autumn Twilight to safety; has been attacked by the Briarwolves","NOT_FOUND","No matching quest in database"
"Ulather","P23",800,"[]",1.000,"English","This fragment belongs to Talia; a mage who has set off to defeat the demon Ulather.","NOT_FOUND","No matching quest in database"
"QuelleVergiftet","P102",65,"[]",1.000,"German","Etwas ist in der Quelle verkeilt; was ihr Wasser vergiftet. Benutzt Tantaros Nagelstock; um es herau","NOT_FOUND","No matching quest in database"
"GoblinRennen","P200",2000,"[]",1.000,"German","Hier erlebt Ihr etwas; dass habt Ihr noch nicht gesehen! Das Rennen der schnellsten Goblins der Welt","NOT_FOUND","No matching quest in database"
"RingGefunden","P201",5000,"[]",1.000,"English","hrer der Orks erbeuten! Bring sie zu mir; sobald du sie gefunden hast!","NOT_FOUND","No matching quest in database"
"OpferTot","P202",6000,"[]",1.000,"German","Aber er hat unser Land wohl nie erreicht. Vielleicht ist auch unser Bote den Untoten zum Opfer gefal","NOT_FOUND","No matching quest in database"
"Conditions","P213",0,"[]",1.000,"English","Under those conditions; I would allow the eastern gate to be opened for you. The Lordling has crept ","NOT_FOUND","No matching quest in database"
"KlingzogsBeinlinge","P63",35,"[]",1.000,"German","Bringt Klingzogs Beinlinge nach Graufurt","NOT_FOUND","No matching quest in database"
"Steckbrief","P1",20,"[]",1.000,"German","Ist dieser Steckbrief von Euch?","NOT_FOUND","No matching quest in database"
"Traumdieb","P2",20,"[]",1.000,"German","Istur Ash; ein Gefangerer in Eloni; berichtet von Traumdieben ... Kreaturen; die von den Tr","NOT_FOUND","No matching quest in database"
"Homunculus","P15",300,"[]",1.000,"German","Homunculus...ein Abbild. Geschaffen; nicht geboren. Mein Leben entstand durch...die K","NOT_FOUND","No matching quest in database"
"Steinbrecher","P21",800,"[]",1.000,"German","Holt Uram; den Steinbrecher; von seinem Haus und sprengt mit ihm den","NOT_FOUND","No matching quest in database"
"FialDargTotCenwenFrei","P113",2000,"[]",0.960,"German","nigin Cenwen aus den Klauen des Fial Darg zu befreien; ist ein Vormarsch in die Lande des roten Impe","NOT_FOUND","No matching quest in database"
"NachGraufurtPartEnde","P63",10,"[]",0.900,"German","ckerobert werden kann. Die Wache am Portal kann die Nachricht nach Graufurt senden.","NOT_FOUND","No matching quest in database"
