Reward_Name,Platform,XP,Items,Notes
"BronzerieseGetoetet","P209",12000,"[]",
"Geheimweg","P203",9000,"[]",
"SpinnencampZerstoert","P205",8000,"[]",
"SchalterraetselGeloest","P207",7500,"[]",
"Gremlinlager1Zerstoert","P208",3000,"[]",
"Gremlinlager2Zerstoert","P208",3000,"[]",
"Gremlinlager3Zerstoert","P208",3000,"[]",
"Gremlinlager4Zerstoert","P208",3000,"[]",
"Gremlinlager5Zerstoert","P208",3000,"[]",
"Wolfcamp1Zerstoert","P208",2500,"[]",
"Wolfcamp2Zerstoert","P208",2500,"[]",
"Wolfcamp3Zerstoert","P208",2500,"[]",
"Wolfcamp4Zerstoert","P208",2500,"[]",
"Wolfcamp5Zerstoert","P208",2500,"[]",
"Wolfcamp6Zerstoert","P208",2500,"[]",
"Wolfcamp7Zerstoert","P208",2500,"[]",
"Seelenwesen1","P202",2400,"[]",
"Seelenwesen2","P202",2400,"[]",
"Seelenwesen3","P202",2400,"[]",
"Seelenwesen4","P202",2400,"[]",
"Seelenwesen5","P202",2400,"[]",
"AmraUndLea4","P25",1200,"[]",
"WaechterGetoetet","P111",1000,"[]",
"TrollcampZerstoert","P109",900,"[]",
"Boss1Getoetet","P113",700,"[]",
"Boss2Getoetet","P113",700,"[]",
"Boss3Getoetet","P113",700,"[]",
"Boss4Getoetet","P113",700,"[]",
"Seelenschwerter","P63",600,"[]",
"SternstadtZerstoert","P110",600,"[]",
"Grenzkrieg2Canyon","P12",500,"[]",
"Verraeter","P12",400,"[]",
"Schluesselmeisterin","P104",350,"[]",
"MaskeDesBelial2","P15",300,"[]",
"Erdklinge12","P11",250,"[]",
"Giftzwerg","P11",150,"[]",
"Riesenaerger2","P11",150,"[]",
"JeGroesser2","P10",110,"[]",
"Erdklinge11","P11",100,"[]",
"Riesenaerger1","P11",100,"[]",
"TrommelnInWaeldern","P2",90,"[]",
"JeGroesser1","P10",90,"[]",
"Reisserfell","P10",60,"[]",
"Eisenkarren1","P9",20,"[]",
"Eisenkarren2","P9",20,"[]",
"Eisenkarren3","P9",20,"[]",
"Eisenkarren4","P9",20,"[]",
"Eisenkarren5","P9",20,"[]",
"Eisenkarren6","P9",20,"[]",
"Eisenkarren7","P9",20,"[]",
"Zwergenaxt","P1",20,"[]",
"Items","P9",0,"[]",
"Items","P9",0,"[]",
"XP","P63",0,"[]",
"Money","P6",0,"[]",
"Items","P6",0,"[]",
"Items","P6",0,"[]",
"Items","P5",0,"[]",
"Items","P27",0,"[]",
"Items","P25",0,"[]",
"Items","P23",0,"[]",
"Money","P21",0,"[]",
"Items","P208",0,"[]",
"Money","P200",0,"[]",
"Items","P200",0,"[]",
"Money","P200",0,"[]",
"Items","P200",0,"[]",
"Money","P200",0,"[]",
"Items","P200",0,"[]",
"Money","P200",0,"[]",
"Items","P200",0,"[]",
"Money","P200",0,"[]",
"Items","P200",0,"[]",
"Money","P200",0,"[]",
"Items","P200",0,"[]",
"Money","P200",0,"[]",
"Items","P200",0,"[]",
"Money","P200",0,"[]",
"Items","P200",0,"[]",
"Money","P200",0,"[]",
"Items","P200",0,"[]",
"Money","P200",0,"[]",
"Items","P200",0,"[]",
"Items","P2",0,"[]",
"Items","P2",0,"[]",
"Items","P2",0,"[]",
"Money","P2",0,"[]",
"Money","P2",0,"[]",
"Money","P2",0,"[]",
"Items","P15",0,"[]",
"Items","P12",0,"[]",
"Items","P11",0,"[]",
"Items","P109",0,"[]",
"Money","P105",0,"[]",
"Items","P105",0,"[]",
"Money","P105",0,"[]",
"Items","P105",0,"[]",
"Items","P102",0,"[]",
"Items","P102",0,"[]",
"Items","P102",0,"[]",
"Items","P102",0,"[]",
"Items","P102",0,"[]",
"Items","P102",0,"[]",
"Items","P101",0,"[]",
"Items","P10",0,"[]",
"Money","P10",0,"[]",
"Items","P10",0,"[]",
"Items","P10",0,"[]",
"Items","P1",0,"[]",
"Items","P1",0,"[]",
"Money","P1",0,"[]",
"Money","P1",0,"[]",
"Items","P1",0,"[]",
"Items","P1",0,"[]",
"Items","P1",0,"[]",
"Items","P1",0,"[]",
