Quest_ID,Quest_Name,Platform,Description_Preview,Reward_Match_Here
138,"Quest 138","P10","Grüße; Mensch!",
139,"Quest 139","P10","",
141,"Quest 141","P10","Dringende Geschäfte führen mich nach Osten!",
143,"Quest 143","P10","",
144,"Quest 144","P10","Wer seid Ihr? Was wollt Ihr? Hat Euch mein Vater geschickt?",
145,"Quest 145","P10","Ah; Ihr seid es!",
146,"Quest 146","P10","Mit Euresgleichen habe ich nichts mehr zu schaffen; Mensch.",
147,"Quest 147","P10","Dringende Geschäfte führen mich nach Osten!",
148,"Quest 148","P10","",
150,"Quest 150","P10","Was ist der Schwertfels?",
151,"Quest 151","P10","Grüße!",
152,"Quest 152","P10","",
153,"Quest 153","P10","",
154,"Quest 154","P10","",
155,"Quest 155","P10","",
156,"Quest 156","P10","Ah; Ihr wieder!",
157,"Quest 157","P10","Man sagt; ein Riese stiehlt Euer Vieh?",
158,"Quest 158","P10","Hörgr schlaaaaafen...",
159,"Quest 159","P10","",
161,"Quest 161","P10","",
162,"Quest 162","P10","",
163,"Quest 163","P10","",
164,"Quest 164","P10","(Tanar; der Wolfsvater; hat etwas aus dem Boden gescharrt. Er legt es in Eure Ha",
165,"Quest 165","P10","(Tanar schiebt das Welpe mit der Schnauze zu seiner Mutter; und stellt sich dann",
166,"Quest 166","P10","Seid Ihr an diesem Metall interessiert?",
170,"Quest 170","P10","Glück auf!",
171,"Quest 171","P10","Seid Ihr an diesem Metall interessiert?",
177,"Quest 177","P10","",
178,"Quest 178","P10","",
179,"Quest 179","P10","Ihr braut noch mehr als Bier?",
180,"Quest 180","P10","Ihr braut noch mehr als Bier?",
181,"Quest 181","P10","Glück auf!",
472,"Quest 472","P10","Mit Euresgleichen habe ich nichts mehr zu schaffen; Mensch.",
479,"Quest 479","P10","",
480,"Quest 480","P10","",
481,"Quest 481","P10","Willkommen zurück!",
487,"Quest 487","P10","",
488,"Quest 488","P10","Diese Gläser hier fand ich in einer Kiste auf Liannon!",
495,"Quest 495","P10","Nein; das sind sie nicht! Bitte; sucht weiter!",
560,"Quest 560","P102","",
561,"Quest 561","P102","",
562,"Quest 562","P102","Die Skergs erzählten von einer Krankheit; die Euch plagt?",
563,"Quest 563","P102","",
565,"Quest 565","P102","",
566,"Quest 566","P102","",
567,"Quest 567","P102","Die Kithar sind zäh! Ich schicke Euch Verstärkung!",
569,"Quest 569","P102","Da ist das Dorf!",
572,"der Weg nach Rune1 Quest solve","P102","Die Kithar sind zäh! Ich schicke Euch Verstärkung!",
604,"Quest 604","P102","Die Kithar sind zäh! Ich schicke Euch Verstärkung!",
606,"Quest 606","P102","Die Kithar sind zäh! Ich schicke Euch Verstärkung!",
607,"Quest 607","P102","Die Kithar sind zäh! Ich schicke Euch Verstärkung!",
633,"Quest 633","P102","Gut. Aber hört nicht auf das Gesäusel von Zolowin und Gruolun.",
634,"Quest 634","P102","Dieser Schlüssel ist aus einer Kiste im Lager. Mal sehen; ob er die Ketten öffne",
635,"Quest 635","P102","Die Ketten sind mit einem Schloss gesichert.",
636,"Quest 636","P102","Aber wie?",
637,"Quest 637","P102","Sucht den Schlüssel. Er ist bestimmt hier irgendwo im Lager versteckt.",
638,"Quest 638","P102","Verrat! Das wirst du büßen!",
639,"Quest 639","P102","Bei wem wart Ihr? Bei Gruolun? Bei Zolowin? Gleichgültig; beide sind Lügner; Die",
640,"Quest 640","P102","Bei wem wart Ihr? Bei Gruolun? Bei Zolowin? Gleichgültig; beide sind Lügner; Die",
641,"Quest 641","P102","Bei wem wart Ihr? Bei Gruolun? Bei Zolowin? Gleichgültig; beide sind Lügner; Die",
642,"Quest 642","P102","Verrat! Das wirst du büßen!",
643,"Quest 643","P102","Verrat! Das wirst du büßen!",
738,"Quest 738","P102","Die Kithar sind zäh! Ich schicke Euch Verstärkung!",
570,"Quest 570","P103","",
591,"Quest 591","P103","Befreit meine Rune!",
592,"Quest 592","P103","Befreit meine Rune!",
593,"Quest 593","P103","Befreit meine Rune!",
594,"Quest 594","P103","Befreit meine Rune!",
601,"ich war auf Rune2","P103","Befreit meine Rune!",
623,"Quest 623","P103","Befreit meine Rune!",
718,"Quest 718","P103","Ich ergebe mich! Kommt zu mir; ich habe euch etwas zu sagen!",
721,"Quest 721","P103","",
722,"Quest 722","P103","",
753,"Quest 753","P103","Haltet durch Krieger! Wir müssen aushalten; bis Hilfe kommt!",
754,"Eiselfenpatrouillen ausweichen","P103","Befreit meine Rune!",
575,"Quest 575","P104","Die Leute sind völlig erschöpft! Die meisten waren nie gut genährt und die letzt",
576,"Quest 576","P104","Die Leute haben sich aus deinem Lager etwas Nahrung genommen!",
577,"Quest 577","P104","Da sind sie!  Es ist Dracon Arach und die Rote Garde! Der Angriff beginnt!",
578,"Quest 578","P104","Ein paar Kinder sind fortgelaufen! Ihre Eltern suchen sie bereits; aber wir könn",
579,"Quest 579","P104","Gut; wir sind auf dem Weg! Beeil dich! Komm nach; sobald du kannst!",
580,"Quest 580","P104","Gut; wir sind auf dem Weg! Beeil dich! Komm nach; sobald du kannst!",
581,"Quest 581","P104","Gut; wir sind auf dem Weg! Beeil dich! Komm nach; sobald du kannst!",
582,"Quest 582","P104","Gut; wir sind auf dem Weg! Beeil dich! Komm nach; sobald du kannst!",
583,"Quest 583","P104","Gut; wir sind auf dem Weg! Beeil dich! Komm nach; sobald du kannst!",
614,"Quest 614","P104","Zurück! Lass sie die Festung plündern! Komm hier herauf!",
645,"Quest 645","P104","Schickt Späher in den Sumpf! Scheucht das Gewürm heraus!",
716,"Quest 716","P104","Schickt Späher in den Sumpf! Scheucht das Gewürm heraus!",
755,"Quest 755","P104","Die Leute haben sich aus deinem Lager etwas Nahrung genommen!",
756,"Quest 756","P104","Die Leute haben sich etwas Nahrung genommen! Wir brauchen wohl noch dreimal so v",
757,"Quest 757","P104","Die Leute haben sich aus deinem Lager etwas Nahrung genommen!",
758,"Quest 758","P104","Die Flüchtlinge sind gestärkt; aber wir brauchen bestimmt noch einmal so viel",
759,"Quest 759","P104","Die Leute haben sich aus deinem Lager etwas Nahrung genommen!",
760,"Quest 760","P104","Die Leute haben sich aus deinem Lager etwas Nahrung genommen!",
761,"Quest 761","P104","Bald haben die Leute genug Nahrung! Nur noch ein bisschen!",
762,"Quest 762","P104","Die Leute haben sich aus deinem Lager etwas Nahrung genommen!",
763,"Quest 763","P104","Die Leute haben sich aus deinem Lager etwas Nahrung genommen!",
574,"Quest 574","P105","Ich weiß es nicht. Am besten sprichst du mit Elune und versuchst herauszufinden;",
584,"Quest 584","P105","",
585,"Quest 585","P105","",
608,"Test","P105","",
611,"Test","P105","",
627,"Quest 627","P105","Lasst uns zu Aryn aufbrechen!",
631,"Quest 631","P105","",
632,"Quest 632","P105","Ihr glaubt an Eure Bücher und die hohen Schulen der Magie! Aber es gibt alte Krä",
657,"Quest 657","P105","Lasst uns zu Aryn aufbrechen!",
681,"Quest 681","P105","",
682,"Quest 682","P105","",
683,"Quest 683","P105","",
684,"Quest 684","P105","Ihr wisst von einem magischen Schutz gegen Feuer?",
685,"Quest 685","P105","Dann seid Ihr bereit!",
686,"Quest 686","P105","Dann seid Ihr bereit!",
687,"Quest 687","P105","",
689,"Quest 689","P105","",
690,"Quest 690","P105","",
691,"Quest 691","P105","Wir wissen; dass es ihm nicht um den Drachen geht. Das ist ihm alles gleich.",
694,"Quest 694","P105","Ihr habt Recht; viel Zeit ist vergangen ... diese Welt hat sich verändert; wenn ",
695,"Quest 695","P105","Lasst uns zu Aryn aufbrechen!",
696,"Quest 696","P105","Willkommen in Tirganach; Runenkrieger.",
698,"Quest 698","P105","Vor wem seid Ihr auf der Flucht?",
700,"Quest 700","P105","Sie sind die Prinzen der Finsternis. Sie waren die letzte Schöpfung Zarachs; bev",
701,"Buchauftrag bekommen","P105","",
702,"Buch abgegeben","P105","",
703,"Quest 703","P105","Gut. Hier habt Ihr nun den Schlüssel. Seht zu; dass er seine Finger bei sich beh",
704,"Quest 704","P105","Großartig! Schnell; schließt auf!",
705,"Quest 705","P105","Großartig! Schnell; schließt auf!",
706,"Quest 706","P105","Großartig! Schnell; schließt auf!",
707,"Seiten abgegeben","P105","",
708,"Quest 708","P105","",
712,"Skelettauftrag bekommen","P105","",
714,"Quest 714","P105","",
719,"Quest 719","P105","Lasst uns zu Aryn aufbrechen!",
734,"Quest 734","P105","Ihr glaubt an Eure Bücher und die hohen Schulen der Magie! Aber es gibt alte Krä",
765,"Quest 765","P105","(Auf dem Boden liegt der reglose Körper von Aedale; der hohen Priesterin.)",
766,"Quest 766","P105","Habt Ihr herausgefunden; wer Aedale ermordet hat?",
767,"Quest 767","P105","Habt Ihr herausgefunden; wer Aedale ermordet hat?",
768,"Quest 768","P105","Habt Ihr herausgefunden; wer Aedale ermordet hat?",
769,"Quest 769","P105","Habt Ihr herausgefunden; wer Aedale ermordet hat?",
771,"Quest 771","P105","Ihr seid Euch sicher?",
598,"Quest 598","P107","Ja. Mein Bruder ist ein Krieger; er kennt den Preis seiner Zunft! Doch dieses li",
599,"Quest 599","P107","Ich habe zwei Verletzte hier mit starkem Wundbrand! Unheilige Kraft hat diese Wu",
600,"Quest 600","P107","Ja. Mein Bruder ist ein Krieger; er kennt den Preis seiner Zunft! Doch dieses li",
752,"Quest 752","P107","Er ist erschienen! Ihr habt versagt! Flieht; oder Ihr werdet vernichtet!",
597,"Quest 597","P108","Sie kommen! Zu den Wällen!  Zu den Wällen!",
609,"Quest 609","P108","Sie kommen! Zu den Wällen!  Zu den Wällen!",
612,"Quest 612","P108","Ein Mensch? Nein ... mehr als das! Oder soll ich sagen ... weniger?",
613,"Quest 613","P108","Ein Mensch? Nein ... mehr als das! Oder soll ich sagen ... weniger?",
772,"Quest 772","P108","Windjalf! Bei Eisen und Licht; ich hätte nie gedacht Euch wiederzusehen",
646,"Quest 646","P109","Durchforstet das Land; ich werde hier ausharren.",
647,"Quest 647","P109","",
648,"Quest 648","P109","Durchforstet das Land; ich werde hier ausharren.",
649,"Quest 649","P109","Durchforstet das Land; ich werde hier ausharren.",
650,"Quest 650","P109","Durchforstet das Land; ich werde hier ausharren.",
651,"Quest 651","P109","Durchforstet das Land; ich werde hier ausharren.",
652,"Quest 652","P109","",
653,"Quest 653","P109","Durchforstet das Land; ich werde hier ausharren.",
654,"Quest 654","P109","Durchforstet das Land; ich werde hier ausharren.",
655,"Quest 655","P109","Durchforstet das Land; ich werde hier ausharren.",
693,"Quest 693","P109","Passt auf; sie haben euer Vorhaben bemerkt! Sie greifen an!",
731,"Quest 731","P109","Durchforstet das Land; ich werde hier ausharren.",
167,"Quest 167","P11","Es ist beinahe vollendet! Der Zorn nimmt bereits Gestalt an!",
168,"Quest 168","P11","Arr! Diebe! Mein Schatz! Menschling schlecht! Kraga ihn töten und zermalmen wird",
169,"Quest 169","P11","Könnt Ihr eine Erdenklinge für mich formen?",
184,"Quest 184","P11","Arr! Diebe! Mein Schatz! Menschling schlecht! Kraga ihn töten und zermalmen wird",
185,"Quest 185","P11","Arr! Diebe! Mein Schatz! Menschling schlecht! Kraga ihn töten und zermalmen wird",
186,"Quest 186","P11","Arr! Diebe! Mein Schatz! Menschling schlecht! Kraga ihn töten und zermalmen wird",
187,"Quest 187","P11","Arr! Diebe! Mein Schatz! Menschling schlecht! Kraga ihn töten und zermalmen wird",
188,"Quest 188","P11","Arr! Diebe! Mein Schatz! Menschling schlecht! Kraga ihn töten und zermalmen wird",
189,"Quest 189","P11","Arr! Diebe! Mein Schatz! Menschling schlecht! Kraga ihn töten und zermalmen wird",
269,"Quest 269","P11","",
270,"Quest 270","P11","Es sind sieben der stärksten Giftpilze: Schwefelkopf; Giftstacheling; Roter Wald",
271,"Quest 271","P11","Es sind sieben der stärksten Giftpilze: Schwefelkopf; Giftstacheling; Roter Wald",
323,"Quest 323","P11","Arr! Diebe! Mein Schatz! Menschling schlecht! Kraga ihn töten und zermalmen wird",
404,"Quest 404","P11","",
482,"Quest 482","P11","",
500,"Quest 500","P11","",
501,"Quest 501","P11","",
502,"Quest 502","P11","",
503,"Quest 503","P11","",
504,"Quest 504","P11","",
505,"Quest 505","P11","",
506,"Quest 506","P11","",
507,"Quest 507","P11","",
508,"Quest 508","P11","",
509,"Quest 509","P11","Es sind sieben der stärksten Giftpilze: Schwefelkopf; Giftstacheling; Roter Wald",
615,"Quest 615","P110","",
616,"Quest 616","P110","",
617,"Quest 617","P110","",
618,"Quest 618","P110","",
619,"Quest 619","P110","",
620,"Quest 620","P110","Sie sind im Zentrum! Los Würmer; haltet Sie auf!",
621,"Quest 621","P110","",
671,"Quest 671","P110","",
688,"Quest 688","P110","",
692,"Quest 692","P110","Shal",
720,"Quest 720","P110","",
732,"Quest 732","P110","",
744,"Quest 744","P110","",
745,"Quest 745","P110","",
746,"Quest 746","P110","",
747,"Quest 747","P110","",
748,"Quest 748","P110","Wachen! Tötet sie!",
749,"Quest 749","P110","",
750,"Quest 750","P110","Wachen! Tötet sie!",
751,"Quest 751","P110","",
672,"Quest 672","P111","",
673,"Quest 673","P111","",
674,"Quest 674","P111","",
675,"Quest 675","P111","",
680,"Quest 680","P111","",
709,"Quest 709","P111","",
710,"Quest 710","P111","",
739,"Quest 739","P111","",
622,"Quest 622","P113","",
625,"Quest 625","P113","",
626,"Q sprich mit cenwen","P113","Ich trauere um Eure Gefährtin. Sie war eine mutige Frau.",
628,"Quest 628","P113","",
629,"Quest 629","P113","",
630,"Quest 630","P113","",
697,"QBefreie Cenwen","P113","Ich trauere um Eure Gefährtin. Sie war eine mutige Frau.",
699,"QSprich mit Cenwen","P113","Ich trauere um Eure Gefährtin. Sie war eine mutige Frau.",
711,"Quest 711","P113","",
658,"Quest 658","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
659,"Quest 659","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
660,"Quest 660","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
661,"Quest 661","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
662,"Quest 662","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
663,"Quest 663","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
664,"Quest 664","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
665,"Quest 665","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
666,"Quest 666","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
667,"Quest 667","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
668,"Quest 668","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
669,"Quest 669","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
670,"Quest 670","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
733,"Quest 733","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
735,"Quest 735","P115","Ihr habt bereits einen der Kristalle! Nur einer kann getragen werden; dieser ist",
124,"Quest 124","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
142,"Quest 142","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
191,"Quest 191","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
192,"Quest 192","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
193,"Quest 193","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
194,"Quest 194","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
198,"Quest 198","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
199,"Quest 199","P12","Grüße; Freund!",
200,"Quest 200","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
201,"Quest 201","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
202,"Quest 202","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
203,"Quest 203","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
204,"Quest 204","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
205,"Quest 205","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
206,"Quest 206","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
209,"Quest 209","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
211,"Quest 211","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
212,"Quest 212","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
213,"Quest 213","P12","Danke für Eure Hilfe! Was wünscht Ihr?",
214,"Quest 214","P12","Ein Runenkrieger? Da soll mich doch Zarach persönlich holen! Gesellt Euch zu mir",
215,"Quest 215","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
216,"Quest 216","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
218,"Quest 218","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
219,"Quest 219","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
221,"Quest 221","P12","Was macht ein Kerl wie Ihr in einer Festung wie dieser?",
222,"Quest 222","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
223,"Quest 223","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
224,"Quest 224","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
225,"Quest 225","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
242,"Quest 242","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
247,"Quest 247","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
483,"Quest 483","P12","Seht! Ein Mensch naht von Westen her! Öffnet das Tor!",
559,"Quest 559","P12","Ich suche Hokan Ashir!",
183,"Quest 183","P15","(Das glimmende Octagon einsetzen.)",
217,"Quest 217","P15","",
231,"Quest 231","P15","",
232,"Quest 232","P15","",
233,"Quest 233","P15","",
234,"Quest 234","P15","",
235,"Quest 235","P15","Öffnet das Tor!",
236,"Quest 236","P15","Das ist das Ende Deiner Reise! Du wirst meinen Herrn nie erreichen!",
237,"Quest 237","P15","Öffnet das Tor!",
238,"Quest 238","P15","Öffnet das Tor!",
