reward_name,old_quest_id,new_quest_id,note
AlleTrolleKommenAn,Q820,Q825,Review needed
AlleinEinenWegGefunden,Q886,Q822,Review needed
AmWildlandPass1,Q104,Q99,Review needed
AmWildlandPass2,Q105,Q99,Review needed
AmraLeaGrab,Q387,Q211,Review needed
AngriffDerHoehlenorks,Q438,Q424,Review needed
ArenaKampf42,Q1011,Q10582,Review needed
ArgamunVerwandeltSich,Q863,Q854,Review needed
AtmenderWald2Portal,Q541,Q539,Review needed
AufDemWall1Village1,Q249,Q2615,Review needed
AufDemWall5Endkampf,Q264,Q265,Review needed
Bannwerk2,Q97,Q24,Review needed
BefreiungShiel1Alfalas,Q93,Q90,Review needed
BergrieseGeholfen,Q989,Q891,Review needed
BlutAdhiraTrank,Q402,Q407,Review needed
Boss1Getoetet,Q625,Q746,Review needed
Boss2Getoetet,Q628,Q746,Review needed
Boss3Getoetet,Q629,Q746,Review needed
Boss4Getoetet,Q630,Q746,Review needed
BronzerieseGetoetet,Q817,Q794,Review needed
CampsZerstoert,Q777,Q773,Review needed
ColosseumRunde10Sieg,Q1103,Q11,Review needed
CraigBefreit,Q1061,Q1063,Review needed
DariusDerKarthograph,Q46,Q111,Review needed
DialogMitAeltestem,Q1002,Q8444,Review needed
DialogMitUnterhaendler,Q886,Q821,Review needed
DieGeiseln,Q462,Q460,Review needed
DieLetztenSchuetzen1,Q31,Q30,Review needed
DracheGetoetet,Q670,Q0,Review needed
Drachenstein7,Q667,Q733,Review needed
Drachenstein8,Q668,Q733,Review needed
Drachenstein9,Q669,Q733,Review needed
DreiMagierGruolunGive,Q636,Q637,Review needed
DreiMagierRenyaGive,Q635,Q637,Review needed
DritteFestungBesiegt,Q981,Q891,Review needed
DrittenDrachenGetoetet,Q840,Q895,Review needed
DurchdenSpalt2Her,Q499,Q498,Review needed
EchosShinTarGuar,Q333,Q110,Review needed
EinSeltsamerRing,Q41,Q46,Review needed
EndeDesOrdens2DreiItems,Q532,Q522,Review needed
EndgegnerSoulforgerKilled,Q1097,Q0,Review needed
Erdenklinge3,Q170,Q176,Review needed
ErsteFestungBesiegt,Q973,Q891,Review needed
ErstenDrachenGetoetet,Q836,Q895,Review needed
FeineStoffe3Seide,Q344,Q413,Review needed
FluesterndeStadt1Item1,Q491,Q493,Review needed
FluesterndeStadt1Item2,Q492,Q493,Review needed
FluesterndeStadt1Item3,Q491,Q217,Review needed
FluesterndeStadt4Endkampf,Q490,Q212,Review needed
FugisBroughtToMap,Q585,Q584,Review needed
FugisBroughtToTirganach,Q691,Q683,Review needed
GeistInDerMine,Q36,Q39,Review needed
GespraechMitKhal,Q1083,Q779,Review needed
Giftzwerg,Q270,Q509,Review needed
Grenzkrieg1Festung,Q206,Q210,Review needed
Grenzkrieg2Canyon,Q198,Q190,Review needed
HQBefreien,Q586,Q560,Review needed
HeldenBeschworen,Q827,Q0,Review needed
HeldenErschaffen,Q588,Q587,Review needed
HlStaetteBaumGepflanzt,Q844,Q827,Review needed
HolyArtefact1Gefunden,Q789,Q934,Review needed
ImCampMitAllenGeredet,Q715,Q571,Review needed
InsCampGekommen,Q776,Q773,Review needed
InsGrauschattental1,Q472,Q403,Review needed
InsGrauschattental2,Q146,Q141,Review needed
InsGrauschattental4,Q146,Q141,Review needed
KathaiStadtBefreit,Q781,Q785,Review needed
KathaiStadtTorOffen,Q784,Q782,Review needed
KlagendeSteine1BisTor,Q238,Q225,Review needed
KlagendeSteine2Korshar,Q236,Q238,Review needed
Klingensturm1Monument,Q550,Q531,Review needed
Kopfjagd1Head1,Q455,Q453,Review needed
Kopfjagd2Head2,Q458,Q453,Review needed
Kopfjagd3Head3,Q456,Q453,Review needed
Kopfjagd4Head4,Q457,Q453,Review needed
Kopfjagd5Head5,Q454,Q453,Review needed
Kopfjagd6Complete,Q463,Q22,Review needed
KreisSchluss4Soulforger,Q547,Q542,Review needed
LeaderHauptarmeeKilled,Q799,Q794,Review needed
LeaderNordarmeeKilled,Q797,Q794,Review needed
LeaderSuedarmeeKilled,Q798,Q794,Review needed
LeutnantGesprochen,Q895,Q893,Review needed
LichkoenigTot,Q802,Q778,Review needed
Marcia1,Q121,Q122,Review needed
MaskeDesBelial1,Q219,Q190,Review needed
MaskeDesBelial2,Q216,Q190,Review needed
MiniforgersKilled,Q958,Q956,Review needed
NachUrgath2Monument,Q537,Q534,Review needed
OpferFreigelassen,Q1049,Q996,Review needed
OpferTot,Q1048,Q995,Review needed
OrklagerEinnehmen,Q575,Q578,Review needed
P102Erreicht,Q572,Q569,Review needed
P111KarteErreicht,Q744,Q675,Review needed
P212KarteErreicht,Q971,Q956,Review needed
PalastgartenErreicht,Q816,Q809,Review needed
Prinzessin1Befreit ,Q851,Q848,Review needed
Prinzessin2Befreit ,Q849,Q848,Review needed
Prinzessin3Befreit ,Q853,Q848,Review needed
Prinzessin4Befreit ,Q850,Q848,Review needed
Prinzessin5Befreit ,Q852,Q848,Review needed
RastplatzGefunden,Q819,Q818,Review needed
Riesenaerger1,Q188,Q186,Review needed
RingGefunden,Q893,Q773,Review needed
RuneDunhanGenommen,Q567,Q564,Review needed
RuneReowysGenommen,Q594,Q593,Review needed
SQAuftragGescheitert,Q1068,Q1064,Review needed
SQBotschafterGefunden,Q1064,Q1038,Review needed
SQBotschafterTot,Q1068,Q1039,Review needed
SQCraigIstBotschafter,Q1068,Q1064,Review needed
SQHaendlerFriedlich,Q1075,Q11198,Review needed
SQSethHealed,Q1020,Q1022,Review needed
SQTiondriaBuchDariusGefunden,Q701,Q608,Review needed
SQTiondriaSchatzGefunden,Q712,Q772,Review needed
SQTiondriaSeite2Gefunden,Q705,Q704,Review needed
SQTiondriaSeite3Gefunden,Q706,Q704,Review needed
SchalterraetselGeloest,Q983,Q891,Review needed
SchattenringBekommen,Q673,Q675,Review needed
Schattenwelt1Castagir,Q111,Q417,Review needed
SchlachtUmBrunnenfels1,Q112,Q122,Review needed
SchlachtUmBrunnenfels2a,Q121,Q117,Review needed
Seelenwesen1,Q929,Q928,Review needed
Seelenwesen2,Q930,Q928,Review needed
Seelenwesen3,Q931,Q928,Review needed
Seelenwesen4,Q932,Q928,Review needed
Seelenwesen5,Q933,Q928,Review needed
SpinnencampZerstoert,Q871,Q810,Review needed
SprengzwergBefreit,Q977,Q891,Review needed
StadtKathaiErreicht,Q782,Q779,Review needed
Thar,Q512,Q514,Review needed
Tor2DurchTrickGeoeffnet,Q970,Q947,Review needed
TricksterFindFlink,Q220,Q527,Review needed
TrommelnInWaeldern,Q28,Q132,Review needed
UndeadRohenGetoetet,Q988,Q891,Review needed
UriasBefreit,Q775,Q773,Review needed
UruSpricht1,Q1083,Q781,Review needed
UruSpricht3,Q792,Q934,Review needed
UruSpricht5,Q874,Q794,Review needed
VierteFestungBesiegt,Q986,Q891,Review needed
ViertenDrachenGetoetet,Q841,Q834,Review needed
WaechterGetoetet,Q680,Q675,Review needed
WaldschrateKilled,Q593,Q590,Review needed
WasserEntgiften,Q1030,Q1029,Review needed
WegNachEloni2Portal,Q16,Q17,Review needed
WegZumTorFreigeraeumt,Q1006,Q956,Review needed
WeisseSchatten1,Q163,Q164,Review needed
WolfUndDrache1,Q274,Q276,Review needed
Wolfcamp1Zerstoert ,Q856,Q849,Review needed
Wolfcamp2Zerstoert ,Q857,Q849,Review needed
Wolfcamp3Zerstoert ,Q858,Q849,Review needed
Wolfcamp4Zerstoert ,Q859,Q849,Review needed
Wolfcamp5Zerstoert ,Q860,Q849,Review needed
Wolfcamp6Zerstoert ,Q861,Q849,Review needed
Wolfcamp7Zerstoert ,Q1077,Q849,Review needed
XalabarInArenaBesiegt,Q791,Q934,Review needed
Zauberwerk1Augenglas,Q335,Q338,Review needed
ZerstoerungDesLagers,Q807,Q803,Review needed
ZuTarioGegangen,Q1031,Q1029,Review needed
ZweiteFestungBesiegt,Q978,Q891,Review needed
ZwergenMonumentClaimed,Q795,Q794,Review needed
