reward_name,quest_id
206KeineKarawaneDurchgebracht,Q825
AirCoinPassageOpened,Q9788
AlleStelenOff,Q956
AmraUndLea1Liannon1,Q131
AmraUndLea1Liannon2,Q90
AmraUndLea2Liannon1,Q381
AmraUndLea2Liannon2,Q128
AmraUndLea4,Q521
AnfuehrerBesiegt,Q684
ArenaKampf32,Q1012
ArenaKampf36,Q1012
ArenaKampf38,Q1012
ArenaKampf40,Q1011
AschetaenzerTot,Q0
AtmenderWald1Waldherz,Q539
AufDemWall2Village2,Q2614
AugenSet1Solved,Q0
AugenSet2Solved,Q0
AugenSet3Solved,Q0
AugenSet4Solved,Q0
AusDerTiefe1Buch,Q111
AusDerTiefe1Schreiber,Q41
AusDerTiefe2Spaeher,Q557
Bannwerk1,Q462
BefreiungShiel1Kommandant,Q100
BefreiungShiel2Dryaden,Q486
BeideMumienCampsPlatt,Q956
BlutigenDariusBefreit,Q10986
ColosseumRunde01Sieg,Q2
ColosseumRunde02Sieg,Q3
ColosseumRunde03Sieg,Q4
ColosseumRunde04Sieg,Q5
ColosseumRunde05Sieg,Q6
ColosseumRunde06Sieg,Q7
ColosseumRunde07Sieg,Q8
ColosseumRunde08Sieg,Q9
ColosseumRunde09Sieg,Q10
DerPhoenix2Splitter1,Q318
DerPhoenix2Splitter2,Q319
DerPhoenix2Splitter3,Q2850
DerPhoenix2Splitter4,Q2850
Drachenpanzer1,Q110
Drachenpanzer2,Q516
Drachenstein1,Q735
Drachenstein2,Q735
Drachenstein3,Q735
Drachenstein4,Q735
Drachenstein5,Q735
Drachenstein6,Q733
DreiMagierGruolunSave,Q643
DreiMagierRenyaSave,Q643
DreiMagierZolowinGive,Q637
DreiMagierZolowinSave,Q643
DschungelCamp1Killed,Q0
DschungelCamp2Killed,Q0
DschungelCamp3Killed,Q0
DschungelCamp4Killed,Q0
DschungelWeisenDialog,Q10983
DurchDenSchattenhain,Q22
DurchdenSpalt1Hin,Q496
EchosBuch,Q46
Einsiedler1Shan,Q93
Eisenkarren1,Q3309
Eisenkarren2,Q3310
Eisenkarren3,Q3311
Eisenkarren4,Q3312
Eisenkarren5,Q3313
Eisenkarren6,Q3314
Eisenkarren7,Q3315
ElementBeschworen,Q675
EntryMenhirComboCorrect,Q9120
Erdenklinge2,Q166
Erdenklinge4,Q170
Erdklinge12,Q482
ExitDoorToP211Opened,Q9967
ExtinctTuermeWeg,Q0
FeineStoffe4Robe,Q344
FlinkAbgeliefert,Q811
FluesterndeStadt5Maske,Q244
GartenEntgiftet,Q32354
Geheimweg,Q8486
GeistercampBesiegt,Q684
GnomlingBossTot,Q11268
GoblinRennen,Q12
GrabmalGeoeffnet,Q0
Gremlinlager1Zerstoert,Q860
Gremlinlager2Zerstoert,Q0
Gremlinlager3Zerstoert,Q0
Gremlinlager4Zerstoert,Q0
Gremlinlager5Zerstoert,Q0
GrimBesiegt,Q32018
GurimLebt,Q895
GwensMedizin,Q258
HolyArtefact2Gefunden,Q934
Homunculus,Q2480
HuluErreicht,Q569
InInnenstadtGekommen,Q0
InsGrauschattental3,Q141
JaninaBefreit,Q572
KarawaneLosgelaufen,Q886
Klingensturm2Sartarius,Q532
KlingzogsBeinlinge,Q413
KopfloserTodVernichtet,Q849
KreisSchluss1Tor1,Q4181
KreisSchluss2Tor2,Q4182
KreisSchluss2Tor3,Q4651
Lager1Kaputtgemacht,Q822
Lager2Kaputtgemacht,Q886
LargeIrfitReward,Q1045
LastChestInRoom5Opened,Q8637
MasterOfMosaic,Q6862
MitDryadeGesprochen,Q872
MondstadtZerstoert,Q0
MonumenteElfClaimed,Q900
MonumenteZwerg1Claimed,Q900
MonumenteZwerg2Claimed,Q900
MosaikDesTodes,Q3616
NachGraufurtPartEnde,Q424
NachGraufurtPartVillage,Q439
NachUrgath1Elfensiedlung,Q535
NachUrgath3Archon,Q538
Nymphe1Befreit,Q9310
Nymphe2Befreit,Q9307
Nymphe3Befreit,Q9301
OberstadtLinksErreicht,Q877
OberstadtRechtsErreicht,Q940
Ordensritter1Befreit,Q0
Ordensritter2Befreit,Q0
Ordensritter3Befreit,Q0
P103Erreicht,Q590
P104Erreicht,Q0
P108KarteErreicht,Q0
P109KarteErreicht,Q0
P109PortalErreicht,Q0
P110KarteErreicht,Q0
P115KarteErreicht,Q7206
P203KarteErreicht,Q0
P208MosaikDesTodes,Q11386
P211KarteErreicht,Q0
PurpurnesBanner1Kettchen,Q100
PurpurnesBanner2,Q100
QuelleVergiftet,Q572
Reisserfell,Q481
ResistenteGargoyle1Tot,Q0
Riesenaerger2,Q186
Room2SensoSolved,Q0
Room3HeadDoorOpened,Q0
Room4SkeletonDoorOpened,Q9881
Room6SpiderGateOpened,Q9783
Room7ChessboardCrossed,Q0
SQScaramangirKilled,Q8061
SQSchutzgeldLarge,Q1071
SQSchutzgeldMedium,Q1071
SQSchutzgeldSmall,Q11198
SQTiondriaBuchDariusZurueck,Q702
SQTiondriaFlinkBefreit,Q698
SQTiondriaMordfallHalfSolved,Q765
SQTiondriaMordfallSolved,Q765
SQTiondriaObjekteEingesetzt,Q709
SQTiondriaSchatzBehalten,Q714
SQTiondriaSchatzGeteilt,Q709
SceptreOfWindsFound,Q9908
SchattenklingeBefreit,Q32533
Schattenwelt2Rigour,Q512
Schattenwelt2aRigour,Q512
Schattenwelt2bRigour,Q514
Schattenwelt3Manifest,Q423
Schattenwelt4Kristall,Q421
SchattenweltShadowpulse,Q530
SchlachtUmBrunnenfels2,Q117
Schluesselmeisterin,Q578
SetriusErreicht,Q32008
ShardAutum,Q334
SickHermit2Locke,Q360
SkeletonCampDestroyed,Q0
SmallIrfitReward,Q1045
SonnenstadtZerstoert,Q0
StaubDerSterne2,Q71
StaubDerSterne3,Q71
Steckbrief,Q64
Stele1Off,Q960
Stele2Off,Q961
Stele3Off,Q962
Stele4Off,Q963
Stele5Off,Q964
Stele6Off,Q965
SternstadtZerstoert,Q0
ThurgonBrief,Q344
Tor1DurchTrickGeoeffnet,Q8838
TorJenquaiGeoeffnet,Q9810
Trickster1Cassius,Q221
TricksterReturn,Q528
TrollcampZerstoert,Q693
TruppenZumPortalGesandt,Q816
TurningHeadsCrossed,Q0
Ulather,Q499
UntotenlagerNord,Q779
UntotenlagerSued,Q779
UntotenlagerWest,Q779
VieleTrolleKommenAn,Q825
WachgeistTot,Q995
WeisseSchatten2,Q164
WenigeTrolleKommenAn,Q825
WerwolfAbgelenkt,Q10583
WerwolfGesamt,Q652
WindjalfBefreit,Q772
WolfUndDrache2,Q277
WumpusKilled,Q606
Zauberwerk2Feder,Q338
Zauberwerk3Kreide,Q340
Zauberwerk4Robe,Q341
ZweitenDrachenGetoetet,Q893
ZwergeBefreit,Q693
Zwergenaxt,Q380
Zwergendienste1Hinrik,Q489
