reward_name,quest_id,quest_state,platform,file,file_path
DariusDerKarthograph,Q111,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q46,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q46,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q46,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q46,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q46,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q46,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q46,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q12,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q46,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q46,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q46,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q447,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q447,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q14,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q14,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q111,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q14,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q447,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q46,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q447,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q447,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q14,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q14,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q111,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q14,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q111,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q14,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q111,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q111,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q378,,P1,n1240.lua,p1/n1240.lua
DariusDerKarthograph,Q378,,P1,n1240.lua,p1/n1240.lua
AusDerTiefe1Buch,Q111,,P1,n1240.lua,p1/n1240.lua
EchosBuch,Q46,,P1,n1240.lua,p1/n1240.lua
WegNachEloni1Snarf,Q14,,P1,n1392.lua,p1/n1392.lua
Steckbrief,Q64,,P1,n1392.lua,p1/n1392.lua
WegNachEloni2Portal,Q17,,P1,n1609.lua,p1/n1609.lua
WegNachEloni2Portal,Q17,,P1,n1608.lua,p1/n1608.lua
GeistInDerMine,Q39,,P1,n1393.lua,p1/n1393.lua
KleineFische2,Q131,,P1,n1390.lua,p1/n1390.lua
Zwergenaxt,Q380,,P1,n1390.lua,p1/n1390.lua
Zwergenaxt,Q380,,P1,n1390.lua,p1/n1390.lua
Zwergenaxt,Q380,,P1,n1390.lua,p1/n1390.lua
Zwergenaxt,Q380,,P1,n1390.lua,p1/n1390.lua
Zwergenaxt,Q131,,P1,n1390.lua,p1/n1390.lua
AmraUndLea1Liannon1,Q131,,P1,n1390.lua,p1/n1390.lua
BefreiungShiel1Alfalas,Q90,,P1,n1394.lua,p1/n1394.lua
Einsiedler1Shan,Q93,,P1,n1394.lua,p1/n1394.lua
Einsiedler1Shan,Q90,,P1,n1394.lua,p1/n1394.lua
AmraUndLea1Liannon2,Q90,,P1,n1394.lua,p1/n1394.lua
AmraUndLea2Liannon1,Q381,,P1,n1394.lua,p1/n1394.lua
KleineFische1,Q128,,P1,n1396.lua,p1/n1396.lua
AmraUndLea2Liannon2,Q128,,P1,n1396.lua,p1/n1396.lua
EinSeltsamerRing,Q46,,P1,n1388.lua,p1/n1388.lua
AusDerTiefe1Schreiber,Q41,,P1,n1388.lua,p1/n1388.lua
AusDerTiefe2Spaeher,Q557,,P1,n1388.lua,p1/n1388.lua
WegNachEloni2Portal,Q17,,P1,n1611.lua,p1/n1611.lua
WegNachEloni2Portal,Q17,,P1,n1610.lua,p1/n1610.lua
WegNachEloni2Portal,Q17,,P1,n1406.lua,p1/n1406.lua
WundtinkturSwerdis,Q357,,P2,n2628.lua,p2/n2628.lua
TrommelnInWaeldern,Q132,,P2,n1399.lua,p2/n1399.lua
DieFreihaendler,Q66,,P2,n2904.lua,p2/n2904.lua
DieFreihaendler,Q66,,P2,n2904.lua,p2/n2904.lua
DieFreihaendler,Q66,,P2,n2904.lua,p2/n2904.lua
StaubDerSterne1,Q71,,P2,n2905.lua,p2/n2905.lua
StaubDerSterne2,Q71,,P2,n2905.lua,p2/n2905.lua
StaubDerSterne3,Q71,,P2,n2905.lua,p2/n2905.lua
DieLetztenSchuetzen2,Q32,,P2,n1411.lua,p2/n1411.lua
Traumdieb,Q73,,P2,n2907.lua,p2/n2907.lua
DieLetztenSchuetzen1,Q30,,P2,n1500.lua,p2/n1500.lua
DieLetztenSchuetzen3,Q34,,P2,n1505.lua,p2/n1505.lua
DieGeiseln,Q460,,P4,n1387.lua,p4/n1387.lua
Bannwerk1,Q462,,P4,n1387.lua,p4/n1387.lua
Bannwerk2,Q24,,P4,n1387.lua,p4/n1387.lua
DurchDenSchattenhain,Q22,,P4,n1362.lua,p4/n1362.lua
Kopfjagd6Complete,Q22,,P4,n1362.lua,p4/n1362.lua
Kopfjagd1Head1,Q453,,P4,n0.lua,p4/n0.lua
Kopfjagd2Head2,Q453,,P4,n0.lua,p4/n0.lua
Kopfjagd3Head3,Q453,,P4,n0.lua,p4/n0.lua
Kopfjagd4Head4,Q453,,P4,n0.lua,p4/n0.lua
Kopfjagd5Head5,Q453,,P4,n0.lua,p4/n0.lua
BefreiungShiel2Dryaden,Q486,,P5,n3394.lua,p5/n3394.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q134,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q134,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q134,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q96,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q96,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q136,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q137,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
BefreiungShiel1Kommandant,Q100,,P5,n1956.lua,p5/n1956.lua
Bannwerk2,Q100,,P5,n1956.lua,p5/n1956.lua
