Reward_Name,Platform,Quest_ID,XP,Items,Confidence,Language,Quest_Text_Preview
"WundtinkturValdis","P63",357,30,"[]",1.000,"German","Besorgt die Wundtinktur von Valdis und bringt sie zu Swerdis in Eloni"
"Items","P63",NOT_FOUND,0,"[]",1.000,"English","Sinwen Whiteleaf is looking for components of a large spellwork in the leafshade"
"Schwarzeibe","P63",414,35,"[]",1.000,"English","nnt Ihr irgendwo einen alten Bogen aus Schwarzeibe finden."
"ThurgonBrief","P63",NOT_FOUND,250,"[]",1.000,"German","Ich erkenne sie. Thurgon gab mir diesen Brief. Seht ihr die Anschrift?"
"Money","P63",NOT_FOUND,0,"[]",1.000,"English","Listen...since the Black Fist attacked us; looters have been prowling around her"
"WundtinkturSwerdis","P2",357,80,"[]",1.000,"German","Die Kinder der Elfen auf Eloni siechen dahin. Swerdis braucht eine Wundtinktur; "
"DieGeiseln","P4",462,40,"[]",1.000,"German","einige von uns gefangensetzen. Als Geiseln; sollten die Schwestern aus Eloni Rac"
"MosaikDesTodes","P16",NOT_FOUND,800,"[]",1.000,"German","en Steinbild - dem Mosaik des Todes!"
"Thar","P21",512,600,"[]",1.000,"English","The key point is the entrance to the mountain pass. It is advisable to await the"
"DerKatarakt","P21",376,600,"[]",1.000,"German","Findet jemanden; der General Torns Katarakt behandeln kann"
"ShardAutumn","P21",NOT_FOUND,400,"[]",1.000,"English","Elwen; who was to carry the Shard of Autumn Twilight to safety; has been attacke"
"Ulather","P23",NOT_FOUND,800,"[]",1.000,"English","This fragment belongs to Talia; a mage who has set off to defeat the demon Ulath"
"QuelleVergiftet","P102",NOT_FOUND,65,"[]",1.000,"German","Etwas ist in der Quelle verkeilt; was ihr Wasser vergiftet. Benutzt Tantaros Nag"
"GoblinRennen","P200",NOT_FOUND,2000,"[]",1.000,"German","Hier erlebt Ihr etwas; dass habt Ihr noch nicht gesehen! Das Rennen der schnells"
"RingGefunden","P201",893,5000,"[]",1.000,"English","hrer der Orks erbeuten! Bring sie zu mir; sobald du sie gefunden hast!"
"OpferTot","P202",1048,6000,"[]",1.000,"German","Aber er hat unser Land wohl nie erreicht. Vielleicht ist auch unser Bote den Unt"
"Conditions","P213",NOT_FOUND,0,"[]",1.000,"English","Under those conditions; I would allow the eastern gate to be opened for you. The"
"KlingzogsBeinlinge","P63",NOT_FOUND,35,"[]",1.000,"German","Bringt Klingzogs Beinlinge nach Graufurt"
"Steckbrief","P1",NOT_FOUND,20,"[]",1.000,"German","Ist dieser Steckbrief von Euch?"
"Traumdieb","P2",73,20,"[]",1.000,"German","Istur Ash; ein Gefangerer in Eloni; berichtet von Traumdieben ... Kreaturen; die"
"Homunculus","P15",NOT_FOUND,300,"[]",1.000,"German","Homunculus...ein Abbild. Geschaffen; nicht geboren. Mein Leben entstand durch..."
"Steinbrecher","P21",279,800,"[]",1.000,"German","Holt Uram; den Steinbrecher; von seinem Haus und sprengt mit ihm den"
"FialDargTotCenwenFrei","P113",697,2000,"[]",0.960,"German","nigin Cenwen aus den Klauen des Fial Darg zu befreien; ist ein Vormarsch in die "
"NachGraufurtPartEnde","P63",NOT_FOUND,10,"[]",0.900,"German","ckerobert werden kann. Die Wache am Portal kann die Nachricht nach Graufurt send"
"SickHermit1Zirfar","P63",358,600,"[]",0.900,"English","Shan Muir does not want to give the Zirfar potion to you; he says that it may ha"
"EchosShinTarGuar","P63",333,1000,"[]",0.900,"English","I could actually make out words. Tar; Shin and Guar!"
"GeistInDerMine","P1",36,35,"[]",0.900,"German","Bei der alten Mine ging eine Erscheinung um. Es schien der Geist eines Menschen "
"StaubDerSterne1","P2",71,20,"[]",0.900,"German","endes Sternenlicht; das magische Wasser unserer Welt; erstarrt zu vollendeten Kr"
"StaubDerSterne2","P2",NOT_FOUND,10,"[]",0.900,"German","endes Sternenlicht; das magische Wasser unserer Welt; erstarrt zu vollendeten Kr"
"StaubDerSterne3","P2",NOT_FOUND,5,"[]",0.900,"German","endes Sternenlicht; das magische Wasser unserer Welt; erstarrt zu vollendeten Kr"
"AlterMannUndMusik","P6",410,45,"[]",0.900,"German","Bleibt Ihr nur bei Eurem Lagerfeuer und Euren Geschichten; alter Mann!"
"MaskeDesBelial1","P12",219,300,"[]",0.900,"German","ck und zeigt Darius die Maske des Belial."
"MaskeDesBelial2","P12",216,300,"[]",0.900,"German","ck und zeigt Darius die Maske des Belial."
"KlagendeSteine2Korshar","P15",236,500,"[]",0.900,"German","Korshar befehligt seine Heere von der alten Festung in den Klagenden Steinen aus"
"AmraUndLea5","P15",NOT_FOUND,1200,"[]",0.900,"German","bsches Paar abgegeben; aber dann ging Lea fort; mit so einem vermummten Kerl. Un"
"AmraUndLea4","P7",NOT_FOUND,1200,"[]",0.900,"German","bsches Paar abgegeben; aber dann ging Lea fort; mit so einem vermummten Kerl. Un"
"TruppenZumPortalGesandt","P204",NOT_FOUND,9000,"[]",0.900,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufz"
"AlleinEinenWegGefunden","P206",886,6500,"[]",0.900,"German","rper viele Klafter tief in die Erde...damit ich im Verborgenen ruhen kann...bis "
"WegZumTorFreigeraeumt","P213",1006,17500,"[]",0.900,"German","Rohen ist auf dem Weg zum Wildland-Pass. Sprecht mit Celen Fell; Kommandantin de"
"AngriffDerHoehlenorks","P63",438,20,"[]",0.800,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufz"
"BlutAdhiraTrank","P63",402,4000,"[]",0.800,"German","Bringt Adhira das Blut m"
"BlutTombardTot","P63",397,2000,"[]",0.800,"German","nner sind tapfer; aber es sind zu viele der wandlenden Toten dort draussen. Unse"
"TricksterFindFlink","P63",220,500,"[]",0.800,"English","Find Flink McWinter and give him the golden fragment"
"DariusDerKarthograph","P1",46,25,"[]",0.800,"English","The Order of Dawn sent me. Are you the one they call Darius?"
"EinSeltsamerRing","P1",41,20,"[]",0.800,"English","Bring the news to Einar"
"Einsiedler1Shan","P1",NOT_FOUND,100,"[]",0.800,"German","Nun kann der Einsiedler in Graufurt endlich den Zirfartrank erhalten. Aber viell"
"DurchDenSchattenhain","P4",NOT_FOUND,130,"[]",0.800,"German","r Sie selbst (Ihren Avatar). Durch einen Linksklick werden Sie selektiert; durch"
"KoenigDerSpinnen","P6",107,45,"[]",0.800,"German","hrt. Markwart will Rache; aber keiner will dem sagenumwobenen Meister der Spinne"
"FeineStoffe1","P6",413,45,"[]",0.800,"English","r die Feine-Stoffe-Quest eingef"
"InsGrauschattental1","P10",472,50,"[]",0.800,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufz"
"InsGrauschattental2","P10",146,150,"[]",0.800,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufz"
"InsGrauschattental3","P10",NOT_FOUND,50,"[]",0.800,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufz"
"InsGrauschattental4","P10",146,350,"[]",0.800,"German","Die Angriffe sind abgewehrt. Nun gilt es; die restlichen Truppen der Feinde aufz"
"AmraLeaGrab","P16",387,800,"[]",0.800,"English","Shan is Lea's sister; Amra's chosen one. She probably knows another part of the "
"FluechtlingeNachNorden","P101",644,150,"[]",0.800,"German","Der Wall ist durch Verwitterung und Menschenhand begehbar geworden. Er ist der e"
"KitharLagerZerstoert","P102",564,175,"[]",0.800,"German","Wo befindet sich das Lager der Kithar?"
"RuneDunhanGenommen","P102",567,175,"[]",0.800,"English","Use the rune monument to summon Dunhan and Reowys. Then the resistance will join"
"RuneReowysGenommen","P103",594,500,"[]",0.800,"English","Use the rune monument to summon Dunhan and Reowys. Then the resistance will join"
"SkeletonCampDestroyed","P105",NOT_FOUND,850,"[]",0.800,"English","Snarf's camp in the West must be destroyed. Celen wants his Dagger as proof of h"
"RueckkehrMitWindjalf","P108",612,1250,"[]",0.800,"English","Where will I find Windjalf; the smith?"
"InsCampGekommen","P201",776,2000,"[]",0.800,"English","The necromancer and former student Istur's has been possessed by a dream-snatche"
"ZerstoerungDesLagers","P203",807,24000,"[]",0.800,"German","ler Isturs ist von einem Traumdieb besessen und wahnsinnig. Nur der Tod kann ihn"
"ArenaKampf32","P204",NOT_FOUND,5000,"[]",0.800,"German","Na habt Ihr Euch entschieden? Wagt Ihr einen Kampf in der Arena? Oder schleicht "
"ArenaKampf36","P204",NOT_FOUND,7000,"[]",0.800,"German","Na habt Ihr Euch entschieden? Wagt Ihr einen Kampf in der Arena? Oder schleicht "
"ArenaKampf38","P204",NOT_FOUND,10000,"[]",0.800,"German","Na habt Ihr Euch entschieden? Wagt Ihr einen Kampf in der Arena? Oder schleicht "
"ArenaKampf40","P204",NOT_FOUND,12500,"[]",0.800,"German","Na habt Ihr Euch entschieden? Wagt Ihr einen Kampf in der Arena? Oder schleicht "
"ArenaKampf42","P204",1011,15000,"[]",0.800,"German","Na habt Ihr Euch entschieden? Wagt Ihr einen Kampf in der Arena? Oder schleicht "
"MitDryadeGesprochen","P205",NOT_FOUND,10000,"[]",0.800,"English","The malicious Dryade once drove the hermit into madness. He met her in Eloni and"
"LargeIrfitReward","P205",NOT_FOUND,13000,"[]",0.800,"English","He knows the largest deposits of dreamdust in Empyria! If I could only get him a"
"ErsteFestungBesiegt","P207",973,9500,"[]",0.800,"German","nderer ihr Versteck. Dorthin haben sie den Besitz von Illirias verschleppt. Find"
"ZweiteFestungBesiegt","P207",978,9500,"[]",0.800,"German","hrt die Kampfaxt wie kein Zweiter. Besiegt ihn und schlagt ihm den Kopf ab."
"UndeadRohenGetoetet","P207",988,12000,"[]",0.800,"English","The Circlemage Rohen has arrived with his Undead Guard. It seems he is not yet i"
"KopfloserTodVernichtet","P208",NOT_FOUND,10000,"[]",0.800,"German","Der Tod Shaknars hat den Traumdieb freigesetzt. Er muss vernichtet werden; um de"
"ArgamunVerwandeltSich","P208",863,10000,"[]",0.800,"German","Sucht die verwandelte Prinzessin; die sich im S"
"MasterGameWon","P208",1070,30000,"[]",0.800,"English","Environment mapping controls the mirroring and reflections in the game environme"
"StadtKathaiErreicht","P209",782,6000,"[]",0.800,"German","Ihr habt Shal'Dun; die Hauptstadt des roten Imperiums; erreicht. Der Zugang zum "
"GespraechMitKhal","P209",1083,2000,"[]",0.800,"German","ckhalten; aber nun scheinen sie jemanden zu haben; der ihnen hilft. Jemand mit M"
"KathaiStadtBefreit","P209",781,10000,"[]",0.800,"German","mpft alleine gegen die Untoten in der Stadt. Helft ihm und befragt ihn dann zur "
"ZwergenMonumentClaimed","P209",795,2000,"[]",0.800,"English","Use this button to select the next; activated monument. Cycle through all claime"
"LeaderNordarmeeKilled","P209",797,8000,"[]",0.800,"English","The imperial troops are disciplined; but they're weak without their leaders. Def"
"LeaderSuedarmeeKilled","P209",798,8000,"[]",0.800,"English","The imperial troops are disciplined; but they're weak without their leaders. Def"
"LeaderHauptarmeeKilled","P209",799,8000,"[]",0.800,"English","The imperial troops are disciplined; but they're weak without their leaders. Def"
"MonumenteElfClaimed","P211",NOT_FOUND,4000,"[]",0.800,"German","Ich diene der Rune! Ich kann Euch helfen! Gibt es in dieser Gegend noch einige d"
"AlleStelenOff","P212",NOT_FOUND,20000,"[]",0.800,"English","Shan Muir does not want to give the Zirfar potion to you; he says that it may ha"
"NahrungFuerAffenjunge","P213",1008,10000,"[]",0.800,"German","Bringt dem Affenjungen 500 Nahrung f"
"BlutigenDariusBefreit","P213",NOT_FOUND,30000,"[]",0.800,"German","Sucht und befreit Darius"
"AmraUndLea3Sentos","P63",384,500,"[]",0.720,"German","bsches Paar abgegeben; aber dann ging Lea fort; mit so einem vermummten Kerl. Un"
"WegNachEloni1Snarf","P1",14,25,"[]",0.720,"German","Rohen ist auf dem Weg zum Wildland-Pass. Sprecht mit Celen Fell; Kommandantin de"
"WegNachEloni2Portal","P1",16,30,"[]",0.720,"Italian","e zum Portal nach Eloni. Ihr Versteck ist ein Lager im Westen."
"AusDerTiefe1Schreiber","P1",NOT_FOUND,250,"[]",0.720,"German","chlich aus der Tiefe gestiegen. Er scheint verwirrt. Vielleicht wei"
"AusDerTiefe1Buch","P1",NOT_FOUND,150,"[]",0.720,"German","chlich aus der Tiefe gestiegen. Er scheint verwirrt. Vielleicht wei"
"AusDerTiefe2Spaeher","P1",NOT_FOUND,350,"[]",0.720,"German","chlich aus der Tiefe gestiegen. Er scheint verwirrt. Vielleicht wei"
"AmraUndLea2Sentos","P6",385,800,"[]",0.720,"German","bsches Paar abgegeben; aber dann ging Lea fort; mit so einem vermummten Kerl. Un"
"KlagendeSteine1BisTor","P15",238,400,"[]",0.720,"German","hlen! Die Untoten bewachen das Tor zu den klagenden Steinen scharf!"
"AufDemWall5Endkampf","P17",264,500,"[]",0.720,"German","ten Hof hier auf dem Wall. Wenn ihr weiter nach Norden zieht; dann beendet vorhe"
"EndeDesOrdens1Erreichen","P7",521,1500,"[]",0.720,"German","rte; dass ein Ende nahte und in jenem letzen Moment an der Schwelle des Todes; e"
"Tor1DurchTrickGeoeffnet","P204",NOT_FOUND,11000,"[]",0.720,"German","chter werden Euch nicht durchlassen. Lenkt sie entweder mit Tricks ab oder provo"
"Tor2DurchTrickGeoeffnet","P204",970,7000,"[]",0.720,"German","chter werden Euch nicht durchlassen. Lenkt sie entweder mit Tricks ab oder provo"
"Tor3DurchTrickGeoeffnet","P204",948,9000,"[]",0.720,"German","chter werden Euch nicht durchlassen. Lenkt sie entweder mit Tricks ab oder provo"
"SQCraigIstBotschafter","P204",1068,20000,"[]",0.720,"German","Der Botschafter ist im Tempelbezirk von Empyria. Sprecht mit ihm und gebt ihm Cr"
"NachGraufurtPartVillage","P63",NOT_FOUND,0,"[]",0.600,"English","The village Bergin is situated to the North. In the Western part; there are some"
"SickHermit2Locke","P63",NOT_FOUND,600,"[]",0.600,"English","Shan Muir does not want to give the Zirfar potion to you; he says that it may ha"
"FeineStoffe3Seide","P63",344,400,"[]",0.600,"English","r die Feine-Stoffe-Quest eingef"
"FeineStoffe4Robe","P63",NOT_FOUND,1100,"[]",0.600,"English","r die Feine-Stoffe-Quest eingef"
"AmraUndLea1Liannon1","P1",NOT_FOUND,200,"[]",0.600,"English","Talk to Sunder in Liannon about Amra's armor"
"AmraUndLea1Liannon2","P1",NOT_FOUND,400,"[]",0.600,"English","Talk to Sunder in Liannon about Amra's armor"
"AmraUndLea2Liannon1","P1",NOT_FOUND,500,"[]",0.600,"English","Talk to Sunder in Liannon about Amra's armor"
"AmraUndLea2Liannon2","P1",NOT_FOUND,300,"[]",0.600,"English","Talk to Sunder in Liannon about Amra's armor"
"DieLetztenSchuetzen1","P2",31,15,"[]",0.600,"German","Seno; dem Zahnbrecher von Graufurt; wurden auf seiner letzten Reise nach Liannon"
"DieLetztenSchuetzen2","P2",32,15,"[]",0.600,"German","Seno; dem Zahnbrecher von Graufurt; wurden auf seiner letzten Reise nach Liannon"
"DieLetztenSchuetzen3","P2",34,15,"[]",0.600,"German","Seno; dem Zahnbrecher von Graufurt; wurden auf seiner letzten Reise nach Liannon"
"AmWildlandPass1","P6",104,120,"[]",0.600,"English","One of Branningan's great armies is located in The Shiel and blocking the way to"
"AmWildlandPass2","P6",105,160,"[]",0.600,"English","One of Branningan's great armies is located in The Shiel and blocking the way to"
"FeineStoffe2Miria","P10",480,100,"[]",0.600,"English","r die Feine-Stoffe-Quest eingef"
