platform_id,platform_name,quest_flag,quest_id,quest_name,quest_giver_npc_id,quest_maps,xp,gold,silver,copper,items_given,items_taken
1,liannon,DariusDerKarthograph,14,,1240,,25,0,0,0,626,
1,liannon,WegNachEloni1Snarf,14,,1240,,25,0,0,0,626,2336
1,liannon,WegNachEloni2Portal,16,,1392,,30,0,0,0,,
1,liannon,KleineFische1,128,,1390,,10,0,0,0,,
1,liannon,KleineFische2,131,,1390,,10,0,0,0,705,2461
1,liannon,Steckbrief,,,,,20,0,2,40,,2336|2004
1,liannon,Zwergenaxt,,,,,20,0,0,0,,2005
1,liannon,GeistInDerMine,36,,1393,,35,0,2,50,,1998
1,liannon,EinSeltsamerRing,41,,1393,,20,0,0,0,833,1995|1996
1,liannon,AusDerTiefe1Schreiber,,,,,250,0,0,0,617,1995|1996|1997
1,liannon,AusDerTiefe1Buch,,,,,150,0,0,0,707,
1,liannon,AusDerTiefe2Spaeher,,,,,350,0,0,0,555,1996|1997
1,liannon,AmraUndLea1Liannon1,388,Bring Lea's possessions to Shan in Liannon,1394,,200,0,0,0,,
1,liannon,AmraUndLea1Liannon2,388,Bring Lea's possessions to Shan in Liannon,1394,,400,0,0,0,,
1,liannon,AmraUndLea2Liannon1,388,Bring Lea's possessions to Shan in Liannon,1394,,500,0,0,0,,3045|3046
1,liannon,AmraUndLea2Liannon2,388,Bring Lea's possessions to Shan in Liannon,1394,,300,0,0,0,,
1,liannon,EchosBuch,14,,1240,,200,0,0,0,626,3042
1,liannon,BefreiungShiel1Alfalas,93,,1394,,60,0,0,0,,2362
1,liannon,Einsiedler1Shan,381,Ask Shan Muir about Arma and Lea,1390,,100,0,0,0,,
2,eloni,TrommelnInWaeldern,28,,1399,,90,0,0,0,,
2,eloni,WundtinkturSwerdis,357,,2628,,80,0,0,0,,2670
2,eloni,DieLetztenSchuetzen1,31,,1501,,15,0,0,0,695,
2,eloni,DieLetztenSchuetzen2,32,,1411,,15,0,0,0,601,
2,eloni,DieLetztenSchuetzen3,34,,1505,,15,0,0,0,690,
2,eloni,DieFreihaendler,66,,2904,,20,0,0,0,,
2,eloni,Traumdieb,73,,2907,,20,0,0,0,,2166
2,eloni,StaubDerSterne1,71,,2905,,20,0,2,0,,2155
2,eloni,StaubDerSterne2,,,,,10,0,4,0,,2155
2,eloni,StaubDerSterne3,,,,,5,0,6,0,,2155
4,leafshade,DurchDenSchattenhain,,,,,130,0,0,0,,
4,leafshade,Bannwerk1,,,,,60,0,0,0,,2191|2193|2194|2200|2201|2205
4,leafshade,Bannwerk2,97,,1956,,60,0,0,0,,2191|2193|2194|2200|2201|2205
4,leafshade,Kopfjagd1Head1,455,,1362,,15,0,0,0,,
4,leafshade,Kopfjagd2Head2,458,,1362,,15,0,0,0,,
4,leafshade,Kopfjagd3Head3,456,,1362,,15,0,0,0,,
4,leafshade,Kopfjagd4Head4,457,,1362,,15,0,0,0,,
4,leafshade,Kopfjagd5Head5,454,,1362,,15,0,0,0,,
4,leafshade,Kopfjagd6Complete,463,,1362,,60,0,0,0,,3202|3203|3204|3205|3206
4,leafshade,DieGeiseln,462,,1387,,40,0,0,0,,2191
5,shiel,BefreiungShiel1Kommandant,,,,,40,0,0,0,,
5,shiel,BefreiungShiel2Dryaden,,,,,140,0,0,0,,
5,shiel,PurpurnesBanner1Kettchen,,,,,35,0,0,0,,2350
5,shiel,PurpurnesBanner2,,,,,45,0,0,0,680|622,2488
6,wildland pass,AmWildlandPass1,104,,,,120,0,0,0,,
6,wildland pass,AmWildlandPass2,105,,,,160,0,0,0,,
6,wildland pass,KoenigDerSpinnen,107,,1989,,45,0,10,0,2467|2467,2382
6,wildland pass,AlterMannUndMusik,410,,1989,,45,0,0,0,628,2371
6,wildland pass,FeineStoffe1,413,,2183,,45,0,0,0,,
6,wildland pass,AmraUndLea2Sentos,385,Sentos wants to meet with you at the Wildland Pass.,2898,P6|P63,800,0,0,0,,
7,icegate marsh,EndeDesOrdens1Erreichen,521,,4010,,1500,0,0,0,,
7,icegate marsh,EndeDesOrdens2DreiItems,532,,4010,,1500,0,0,0,,
7,icegate marsh,AmraUndLea4,381,Ask Shan Muir about Arma and Lea,1390,,1200,0,0,0,,
9,northern windwalls,Marcia1,121,,2016,,150,0,0,0,2652,
9,northern windwalls,SchlachtUmBrunnenfels1,112,,2016,,100,0,0,0,,
9,northern windwalls,SchlachtUmBrunnenfels2,120,,2017,,150,0,0,0,708|545,
9,northern windwalls,SchlachtUmBrunnenfels2a,120,,2017,,150,0,0,0,2652,
9,northern windwalls,Eisenkarren1,,,,,20,0,0,0,,
9,northern windwalls,Eisenkarren2,,,,,20,0,0,0,,
9,northern windwalls,Eisenkarren3,,,,,20,0,0,0,,
9,northern windwalls,Eisenkarren4,,,,,20,0,0,0,,
9,northern windwalls,Eisenkarren5,,,,,20,0,0,0,,
9,northern windwalls,Eisenkarren6,,,,,20,0,0,0,,
9,northern windwalls,Eisenkarren7,,,,,20,0,0,0,,
10,southern windwalls,InsGrauschattental1,472,,2177,,50,0,0,0,,
10,southern windwalls,InsGrauschattental2,145,,2184,,150,0,0,0,,
10,southern windwalls,InsGrauschattental3,145,,2184,,50,0,0,0,,
10,southern windwalls,InsGrauschattental4,145,,2184,,350,0,0,0,,2515
10,southern windwalls,WeisseSchatten1,163,,2263,,80,0,0,0,,2513
10,southern windwalls,WeisseSchatten2,,,,,40,0,0,0,774,
10,southern windwalls,Zwergendienste2Cronvig,488,,2577,,250,5,0,0,,3247
10,southern windwalls,JeGroesser1,151,,2182,,90,0,0,0,,2477|2478|2479|2480|2510
10,southern windwalls,JeGroesser2,158,,2189,,110,0,0,0,,2485
10,southern windwalls,Reisserfell,,,,,60,0,0,0,,2514|2320
