Quest_ID,Reward_Name,Platform,XP,Gold,Silver,Copper,Items,Item_Count
UNMAPPED,NachGraufurtPartVillage,P63,20,0,0,0,532,1
UNMAPPED,NachGraufurtPartEnde,P63,10,0,0,0,,0
438,AngriffDerHoehlenorks,P63,20,0,0,0,,0
335,Zauberwerk1Augenglas,P63,10,0,0,0,,0
UNMAPPED,Zauberwerk2Feder,P63,25,0,0,0,,0
UNMAPPED,Zauberwerk3Kreide,P63,35,0,0,0,,0
UNMAPPED,Zauberwerk4Robe,P63,120,0,0,0,,0
371,ZahnbrechersZangen,P63,35,0,0,0,,0
357,WundtinkturValdis,P63,30,0,0,0,,0
402,BlutAdhiraTrank,P63,4000,0,0,0,,0
397,BlutTombardTot,P63,2000,0,0,0,,0
358,SickHermit1Zirfar,P63,600,0,0,0,,0
UNMAPPED,SickHermit2Locke,P63,600,0,0,0,,0
111,Schattenwelt1Castagir,P63,120,0,0,0,,0
UNMAPPED,Schattenwelt3Manifest,P63,1000,0,0,0,,0
UNMAPPED,SchattenweltShadowpulse,P63,500,0,0,0,,0
325,EchosBuchstabe1,P63,500,0,0,0,,0
325,EchosBuchstabe2,P63,500,0,0,0,,0
325,EchosBuchstabe3,P63,500,0,0,0,,0
330,EchosGoran,P63,700,0,0,0,,0
333,EchosShinTarGuar,P63,1000,0,0,0,,0
384,AmraUndLea3Sentos,P63,500,0,0,0,,0
UNMAPPED,Zwergendienste1Hinrik,P63,120,0,0,0,,0
414,Schwarzeibe,P63,35,0,0,0,,0
UNMAPPED,Seelenschwerter,P63,600,0,0,0,,0
UNMAPPED,KlingzogsBeinlinge,P63,35,0,0,0,,0
UNMAPPED,ThurgonBrief,P63,250,2,0,0,,0
344,FeineStoffe3Seide,P63,400,0,0,0,,0
UNMAPPED,FeineStoffe4Robe,P63,1100,0,0,0,3352,1
UNMAPPED,Drachenpanzer1,P63,100,0,0,0,,0
UNMAPPED,Drachenpanzer2,P63,800,0,0,0,"557,572",2
220,TricksterFindFlink,P63,500,0,0,0,,0
UNMAPPED,TricksterReturn,P63,1000,0,0,0,3621,1
46,DariusDerKarthograph,P1,25,0,0,0,,0
14,WegNachEloni1Snarf,P1,25,0,0,0,626,1
16,WegNachEloni2Portal,P1,30,0,0,0,,0
128,KleineFische1,P1,10,0,0,0,,0
131,KleineFische2,P1,10,0,0,0,705,1
UNMAPPED,Steckbrief,P1,20,0,2,40,,0
UNMAPPED,Zwergenaxt,P1,20,0,0,0,,0
36,GeistInDerMine,P1,35,0,2,50,,0
41,EinSeltsamerRing,P1,20,0,0,0,833,1
UNMAPPED,AusDerTiefe1Schreiber,P1,250,0,0,0,617,1
UNMAPPED,AusDerTiefe1Buch,P1,150,0,0,0,707,1
UNMAPPED,AusDerTiefe2Spaeher,P1,350,0,0,0,555,1
UNMAPPED,AmraUndLea1Liannon1,P1,200,0,0,0,,0
UNMAPPED,AmraUndLea1Liannon2,P1,400,0,0,0,,0
UNMAPPED,AmraUndLea2Liannon1,P1,500,0,0,0,,0
UNMAPPED,AmraUndLea2Liannon2,P1,300,0,0,0,,0
UNMAPPED,EchosBuch,P1,200,0,0,0,,0
93,BefreiungShiel1Alfalas,P1,60,0,0,0,,0
UNMAPPED,Einsiedler1Shan,P1,100,0,0,0,,0
UNMAPPED,TrommelnInWaeldern,P2,90,0,0,0,,0
357,WundtinkturSwerdis,P2,80,0,0,0,,0
31,DieLetztenSchuetzen1,P2,15,0,0,0,695,1
32,DieLetztenSchuetzen2,P2,15,0,0,0,601,1
34,DieLetztenSchuetzen3,P2,15,0,0,0,690,1
66,DieFreihaendler,P2,20,0,0,0,,0
73,Traumdieb,P2,20,0,0,0,,0
71,StaubDerSterne1,P2,20,0,2,0,,0
UNMAPPED,StaubDerSterne2,P2,10,0,4,0,,0
UNMAPPED,StaubDerSterne3,P2,5,0,6,0,,0
UNMAPPED,DurchDenSchattenhain,P4,130,0,0,0,,0
UNMAPPED,Bannwerk1,P4,60,0,0,0,,0
97,Bannwerk2,P4,60,0,0,0,,0
455,Kopfjagd1Head1,P4,15,0,0,0,,0
458,Kopfjagd2Head2,P4,15,0,0,0,,0
456,Kopfjagd3Head3,P4,15,0,0,0,,0
